Weak_foot,Ball_Control,Dribbling,Marking,Attacking_Position,Interceptions,Short_Pass,Long_Pass,Acceleration,Speed,Strength,Agility,Jumping,Heading,Shot_Power,Curve,Rating,edad,Club_Pos_Num
4,93,92,22,94,29,83,77,91,92,80,90,95,85,92,81,94,32,13
4,95,97,13,93,22,88,87,92,87,59,90,68,71,85,89,93,30,23
5,95,96,21,90,36,81,75,93,90,49,96,61,62,78,79,92,25,13
4,91,86,30,92,41,83,64,88,77,76,86,69,77,87,86,92,30,26
4,48,30,10,12,30,55,59,58,61,83,52,78,25,25,14,92,31,4
3,31,13,13,12,30,31,32,56,56,64,57,67,21,31,21,90,27,4
4,87,85,25,89,39,83,65,79,82,84,78,84,85,86,77,90,29,26
3,88,89,51,86,59,86,80,93,95,80,77,85,86,91,86,90,28,23
4,90,87,15,86,20,84,76,69,74,93,86,72,80,93,82,90,36,26
3,23,13,11,13,15,32,31,46,52,70,61,68,13,36,19,89,25,4
4,72,67,90,47,84,75,80,74,81,91,58,75,86,79,56,89,29,27
4,91,93,25,85,41,84,80,93,87,65,92,59,57,79,82,89,26,13
4,92,86,66,79,76,92,83,77,71,58,93,67,55,73,79,89,32,18
2,90,86,22,84,24,89,84,77,68,56,84,52,54,70,84,89,29,0
4,85,84,12,92,20,73,59,79,81,85,75,77,80,86,74,89,30,26
3,80,68,90,59,91,79,81,72,76,81,75,93,82,78,61,89,33,7
3,83,61,85,52,88,76,70,77,78,81,80,92,90,79,73,89,31,7
4,89,89,13,91,24,79,63,92,86,73,86,80,68,87,82,89,29,26
4,90,89,68,84,70,85,87,75,79,91,79,85,73,90,82,88,24,8
3,86,87,23,91,35,79,75,87,86,61,90,87,80,81,84,88,26,22
4,86,85,30,84,52,89,82,76,78,73,78,65,53,85,81,88,26,18
4,85,86,30,87,50,86,79,89,91,67,87,72,51,87,90,88,28,13
3,86,89,30,86,42,80,73,88,84,72,90,85,70,84,78,88,29,26
5,85,78,63,76,77,89,93,55,37,74,70,34,54,87,85,88,27,8
3,76,53,87,48,88,79,70,62,67,80,63,89,92,67,49,88,31,7
3,77,68,85,56,89,78,82,62,65,85,64,68,90,71,65,88,29,7
1,34,10,12,10,27,27,31,65,63,43,55,74,10,23,11,88,31,4
2,55,56,92,28,88,55,59,69,79,91,59,89,80,78,60,88,33,7
3,86,82,86,69,93,86,77,68,67,59,82,72,63,57,77,88,34,16
3,62,58,88,40,88,70,61,65,75,84,63,76,82,63,44,88,34,17
3,22,12,11,13,23,35,33,42,50,65,49,51,19,21,13,88,35,4
2,28,26,10,12,28,37,35,49,43,69,55,75,13,39,20,88,39,4
4,93,90,57,85,68,92,86,74,73,59,82,54,54,65,80,88,33,11
3,16,12,14,11,19,29,26,43,60,78,67,76,15,22,13,87,24,4
3,85,84,25,80,55,84,80,77,75,70,82,54,62,86,87,87,26,0
4,82,82,28,89,48,77,64,95,96,77,80,77,79,81,78,87,28,26
